TweetDate,TweetURL,MediaURL,SavedFilename,TweetContent,Replies,Retweets,Likes
2021/02/20 13:28:03,https://twitter.com/rodyoki/status/1363163517738774529,https://pbs.twimg.com/media/Eurt3IgXMAMr1r6?format=png&name=orig,rodyoki-1363163517738774529-20210220_132803-img1.png,black and amp, white to color social experiment https://t.co/pjgcwbDG7R,2,7,33
2021/02/20 13:28:03,https://twitter.com/rodyoki/status/1363163517738774529,https://pbs.twimg.com/media/Eurt3I-XYAI0-Ib?format=jpg&name=orig,rodyoki-1363163517738774529-20210220_132803-img2.jpg,black and amp, white to color social experiment https://t.co/pjgcwbDG7R,2,7,33
2021/02/01 00:51:26,https://twitter.com/rodyoki/status/1356087739628867586,https://pbs.twimg.com/media/EtHKfstXYAIJwvN?format=png&name=orig,rodyoki-1356087739628867586-20210201_005126-img1.png,late night PTSD Steven Universe doodles https://t.co/qmpkDRrTXI,1,2,16,
2021/02/01 00:51:26,https://twitter.com/rodyoki/status/1356087739628867586,https://pbs.twimg.com/media/EtHKgobW4AEDm30?format=jpg&name=orig,rodyoki-1356087739628867586-20210201_005126-img2.jpg,late night PTSD Steven Universe doodles https://t.co/qmpkDRrTXI,1,2,16,
2021/01/29 22:59:33,https://twitter.com/rodyoki/status/1355334806335315972,https://pbs.twimg.com/media/Es8ch-EXEAYgIM_?format=jpg&name=orig,rodyoki-1355334806335315972-20210129_225933-img3.jpg,"ArtTrain, si me taguean entonces tagueo a otros sin su consentimiento.https://t.co/tWs4a1UzDC",2,4,9,
2021/01/29 22:59:33,https://twitter.com/rodyoki/status/1355334806335315972,https://pbs.twimg.com/media/Es8cnwHW4AYcb9u?format=jpg&name=orig,rodyoki-1355334806335315972-20210129_225933-img4.jpg,"ArtTrain, si me taguean entonces tagueo a otros sin su consentimiento.https://t.co/tWs4a1UzDC",2,4,9,
2021/01/28 14:48:30,https://twitter.com/rodyoki/status/1354848841338671112,https://pbs.twimg.com/media/Es1jfUEXcAAiQBm?format=jpg&name=orig,rodyoki-1354848841338671112-20210128_144830-img1.jpg,Sapito (música reggaeton de fondo). Petición de @valtttt https://t.co/Ny4Tai1Qdo,1,4,14,
2021/01/05 21:14:26,https://twitter.com/rodyoki/status/1346611045780041733,https://pbs.twimg.com/media/ErAfNEkW4AIIllz?format=jpg&name=orig,rodyoki-1346611045780041733-20210105_211426-img1.jpg,"felt like a good time to make a Gengar, although it`s always a good time to make a Gengar.Pokemon digitalart https://t.co/NFxXyQtOYO",,4,11,
2021/01/04 20:40:09,https://twitter.com/rodyoki/status/1346240027257409536,https://pbs.twimg.com/media/Eq7N_5lXEAA5iZA?format=jpg&name=orig,rodyoki-1346240027257409536-20210104_204009-img1.jpg,@Bundeluxe my favourite Hanna-Barbera character https://t.co/KTw2cWoPGg,,,1,
2021/01/04 20:36:00,https://twitter.com/rodyoki/status/1346238985862049792,https://pbs.twimg.com/media/Eq7NCFNXYAEzgvM?format=jpg&name=orig,rodyoki-1346238985862049792-20210104_203600-img1.jpg,attempting that cool shiny metal effect thingy and happy new year i guess https://t.co/gVsjeVBESl,,2,9,
2020/12/03 21:49:23,https://twitter.com/rodyoki/status/1334661041272270851,https://pbs.twimg.com/media/EoWqP1SXUAASuNp?format=jpg&name=orig,rodyoki-1334661041272270851-20201203_214923-img1.jpg,"oh yeah this thing, made ages ago. I`ll stop stealing from Mignola soon enough.TF2 digitalart https://t.co/DjGXD72BQM",2,5,15,
2020/11/26 19:32:37,https://twitter.com/rodyoki/status/1332089905892257800,https://pbs.twimg.com/media/EnyIVzpW4AQuY_c?format=png&name=orig,rodyoki-1332089905892257800-20201126_193237-img1.png,"Leftovers from ancient times (sorry for no kewl drawing this week, it`s been kinda busy) https://t.co/9aJirx9nFB",1,3,18,
2020/11/26 19:32:37,https://twitter.com/rodyoki/status/1332089905892257800,https://pbs.twimg.com/media/EnyIYEnWMAA1Grb?format=png&name=orig,rodyoki-1332089905892257800-20201126_193237-img2.png,"Leftovers from ancient times (sorry for no kewl drawing this week, it`s been kinda busy) https://t.co/9aJirx9nFB",1,3,18,
2020/11/26 19:32:37,https://twitter.com/rodyoki/status/1332089905892257800,https://pbs.twimg.com/media/EnyIZ1iXEAEPFOR?format=jpg&name=orig,rodyoki-1332089905892257800-20201126_193237-img3.jpg,"Leftovers from ancient times (sorry for no kewl drawing this week, it`s been kinda busy) https://t.co/9aJirx9nFB",1,3,18,
